method,sup_epochs,loss,s_acc,b_acc
baseline_supervised_e2e_scratch,1,8.654185939856987,0.32759761810302734,0.28841410639385384
baseline_supervised_e2e_scratch,2,0.5599316251014244,0.7667107582092285,0.6422525491151545
baseline_supervised_e2e_scratch,3,0.22121229210731647,0.9050297737121582,0.8008497901674774
baseline_supervised_e2e_scratch,4,0.13336992355755115,0.9437458515167236,0.9046405090226067
baseline_supervised_e2e_scratch,5,0.08633918460880108,0.9695565700531006,0.9521584378348457
baseline_supervised_e2e_scratch,10,0.04658518715168045,0.9854401350021362,0.9778050184249878
baseline_supervised_e2e_scratch,25,0.038813728587991606,0.9890800714492798,0.9805862572458055
baseline_supervised_e2e_scratch,50,0.05276062404967242,0.9870946407318115,0.9749740891986423
baseline_supervised_e2e_scratch,100,0.05495871320894773,0.9877564311027527,0.9776203831036886
