method,N,loss,s_acc,b_acc
ours_SimCLR,1,2.2715887743775056,0.17683653235435487,0.2137451228996118
ours_SimCLR,10,2.0700114344422347,0.38729318380355837,0.45136336916022823
ours_SimCLR,50,1.1510616283540809,0.5933156847953797,0.6649925602806939
ours_SimCLR,100,0.8075742819292863,0.7549966931343078,0.8183163854810926
ours_SimCLR,200,0.4764557373866533,0.8601588368415832,0.9106438835461935
ours_SimCLR,500,0.2494276177621318,0.9293845057487488,0.9555848519007364
